TimeUS,PLX,PLY,PLZ,SW
333421362,0.2119884043931961,0.16787955164909363,-23.461166381835938,0
333431567,0.20535674691200256,0.17035312950611115,-23.45701026916504,0
333441605,0.20582525432109833,0.16376283764839172,-23.45888328552246,0
333451228,0.20966601371765137,0.16908633708953857,-23.461551666259766,0
333461297,0.20831109583377838,0.1738327592611313,-23.465364456176758,0
333471217,0.20383372902870178,0.16685429215431213,-23.459609985351562,0
333481693,0.2050010859966278,0.15570786595344543,-23.455839157104492,0
333492070,0.20789678394794464,0.16125637292861938,-23.457870483398438,0
333501309,0.20512166619300842,0.16994735598564148,-23.46170997619629,0
333511212,0.2006901353597641,0.17401565611362457,-23.466623306274414,0
333521215,0.2027537226676941,0.16567109525203705,-23.462141036987305,0
333531604,0.2035345733165741,0.15682870149612427,-23.4554386138916,0
333541598,0.2075057327747345,0.16414479911327362,-23.459564208984375,0
333551305,0.2110067903995514,0.16473087668418884,-23.456504821777344,0
333561256,0.2139432728290558,0.1615341603755951,-23.459030151367188,0
333571296,0.20714399218559265,0.15507423877716064,-23.461000442504883,0
333581628,0.20358023047447205,0.16305840015411377,-23.462200164794922,0
333591578,0.2073771208524704,0.1686021089553833,-23.467620849609375,0
333601344,0.2085009515285492,0.173794224858284,-23.472850799560547,0
333611286,0.2125113308429718,0.1644776612520218,-23.466840744018555,0
333621229,0.21303698420524597,0.16257129609584808,-23.458263397216797,0
333631580,0.21006600558757782,0.1645214706659317,-23.458332061767578,0
333641643,0.20611092448234558,0.1722080111503601,-23.462902069091797,0
333651202,0.2086765617132187,0.17005585134029388,-23.471294403076172,0
333661197,0.2112101912498474,0.16305886209011078,-23.462894439697266,0
333671276,0.21254345774650574,0.1683124303817749,-23.454126358032227,0
333681723,0.20920588076114655,0.16980081796646118,-23.455297470092773,0
333692104,0.20587772130966187,0.1690651774406433,-23.458662033081055,0
333701317,0.21110989153385162,0.16817903518676758,-23.464664459228516,0
333711316,0.2117946743965149,0.17088685929775238,-23.463512420654297,0
333721292,0.20875941216945648,0.1728256642818451,-23.45767593383789,0
333731640,0.21000038087368011,0.16710349917411804,-23.45295524597168,0
333741663,0.20939280092716217,0.16124695539474487,-23.455549240112305,0
333751274,0.2024955153465271,0.15867134928703308,-23.466793060302734,0
333761202,0.2032778114080429,0.16304832696914673,-23.468875885009766,0
333771201,0.2072935402393341,0.16785532236099243,-23.46518325805664,0
333781586,0.21279792487621307,0.17112556099891663,-23.458282470703125,0
333791581,0.21183589100837708,0.16821488738059998,-23.460344314575195,0
333801380,0.2080698013305664,0.16771003603935242,-23.458768844604492,0
333811300,0.20756211876869202,0.16890621185302734,-23.46079444885254,0
333821250,0.20420241355895996,0.17246536910533905,-23.462488174438477,0
333831565,0.2058248668909073,0.1684221476316452,-23.466289520263672,0
333841586,0.20278622210025787,0.16889308393001556,-23.467737197875977,0
333851290,0.2066076397895813,0.16610205173492432,-23.460899353027344,0
333861276,0.20513315498828888,0.16934262216091156,-23.45815658569336,0
333871214,0.20264951884746552,0.16865898668766022,-23.459062576293945,0
333881718,0.20691454410552979,0.16598550975322723,-23.47036361694336,0
333892117,0.20489704608917236,0.17258034646511078,-23.474390029907227,0
333901363,0.20491670072078705,0.17532560229301453,-23.46626091003418,0
333911255,0.2006610929965973,0.17106002569198608,-23.45716094970703,0
