TimeUS,PLX,PLY,PLZ,SW
231587763,0.1187557503581047,0.1116156131029129,-23.510234832763672,0
231597938,0.09768281877040863,0.08118649572134018,-23.512630462646484,0
231607725,0.044882651418447495,0.2455684095621109,-23.553184509277344,0
231618492,0.06453970819711685,0.11359135061502457,-23.51035499572754,0
231627796,0.048117004334926605,0.1333998143672943,-23.531892776489258,0
231637704,0.07002978026866913,0.20347167551517487,-23.536352157592773,0
231647983,0.11021319031715393,0.18134403228759766,-23.484643936157227,0
231657738,0.1467522233724594,0.0726407915353775,-23.519451141357422,0
231667937,0.15735375881195068,0.30324670672416687,-23.509939193725586,0
231677693,0.11410383880138397,-0.0033842367120087147,-23.520620346069336,0
231687732,0.0673266053199768,0.2830119729042053,-23.52904510498047,0
231697925,0.04509411007165909,0.11654451489448547,-23.53449058532715,0
231707709,0.07589922100305557,0.14238838851451874,-23.518203735351562,0
231717947,0.08545328676700592,0.22010350227355957,-23.526023864746094,0
231727784,0.13122232258319855,0.10468778759241104,-23.517629623413086,0
231737679,0.13861319422721863,0.19623692333698273,-23.501943588256836,0
231748187,0.11302855610847473,0.15997619926929474,-23.527231216430664,0
231757594,0.09601827710866928,0.13568608462810516,-23.51398468017578,0
231767924,0.07225111126899719,0.16611748933792114,-23.520416259765625,0
231777604,0.06440602988004684,0.1703377664089203,-23.530296325683594,0
231787779,0.084774911403656,0.12922340631484985,-23.520254135131836,0
231798006,0.10580531507730484,0.21921537816524506,-23.51827621459961,0
231807717,0.11363767832517624,0.10733282566070557,-23.518766403198242,0
231818445,0.1062292754650116,0.17761948704719543,-23.507776260375977,0
231827728,0.09924016892910004,0.16746948659420013,-23.514404296875,0
231837667,0.09034649282693863,0.12514923512935638,-23.51816177368164,0
231847956,0.08715137094259262,0.19067606329917908,-23.526405334472656,0
231857721,0.09344255924224854,0.14011356234550476,-23.533723831176758,0
231867912,0.09269756078720093,0.17242617905139923,-23.525774002075195,0
231877694,0.0801464393734932,0.17358174920082092,-23.525358200073242,0
231887701,0.08070968836545944,0.1401711106300354,-23.516904830932617,0
231897917,0.10321364551782608,0.1720706671476364,-23.517807006835938,0
231907716,0.11597760021686554,0.15872038900852203,-23.520469665527344,0
231917890,0.12322258949279785,0.15083685517311096,-23.52379035949707,0
231927791,0.10118710994720459,0.19505225121974945,-23.508577346801758,0
231937696,0.06732931733131409,0.14115479588508606,-23.528249740600586,0
231948117,0.07099415361881256,0.1680726706981659,-23.53127098083496,0
231957571,0.09093668311834335,0.1588418185710907,-23.52552604675293,0
231967943,0.11294607818126678,0.13337838649749756,-23.539291381835938,0
231977574,0.11634188145399094,0.18733827769756317,-23.511991500854492,0
231987754,0.09228698164224625,0.15077520906925201,-23.51259422302246,0
231997915,0.08432888239622116,0.1616465151309967,-23.52637481689453,0
232007760,0.08951188623905182,0.16225509345531464,-23.513023376464844,0
232018457,0.10731260478496552,0.13676315546035767,-23.527135848999023,0
232027727,0.10698767006397247,0.17581622302532196,-23.532392501831055,0
232037681,0.09429500252008438,0.1729051023721695,-23.51670265197754,0
232047983,0.08480580896139145,0.14868265390396118,-23.528217315673828,0
232057615,0.10345141589641571,0.17152412235736847,-23.520748138427734,0
232067965,0.1183713749051094,0.13955138623714447,-23.507070541381836,0
232077634,0.10452138632535934,0.17859211564064026,-23.52960777282715,0
